Summary of the training: 
(' ave_R ', 63.54, ' std_R ', 48.03, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1288620, ' epi', 3900, ' clock ', 3.41, ' min')
(' ave_R ', 64.21, ' std_R ', 52.21, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1398250, ' epi', 4000, ' clock ', 3.67, ' min')
(' ave_R ', 67.25, ' std_R ', 55.62, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1465859, ' epi', 4100, ' clock ', 3.84, ' min')
(' ave_R ', 71.02, ' std_R ', 58.86, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1529823, ' epi', 4200, ' clock ', 4.01, ' min')
(' ave_R ', 71.44, ' std_R ', 59.98, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1625324, ' epi', 4300, ' clock ', 4.22, ' min')
(' ave_R ', 70.54, ' std_R ', 60.13, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1672760, ' epi', 4400, ' clock ', 4.33, ' min')
(' ave_R ', 67.19, ' std_R ', 60.88, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1742590, ' epi', 4500, ' clock ', 4.55, ' min')
(' ave_R ', 67.53, ' std_R ', 60.52, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1787665, ' epi', 4600, ' clock ', 4.66, ' min')
(' ave_R ', 65.76, ' std_R ', 59.93, ' min_R ', 0.0, ' max_R ', 369.46, ' times ', 1847619, ' epi', 4700, ' clock ', 4.84, ' min')
(' ave_R ', 59.8, ' std_R ', 51.08, ' min_R ', 0.0, ' max_R ', 329.35, ' times ', 1904742, ' epi', 4800, ' clock ', 4.99, ' min')
(' ave_R ', 52.86, ' std_R ', 47.75, ' min_R ', 0.0, ' max_R ', 329.35, ' times ', 1954149, ' epi', 4900, ' clock ', 5.12, ' min')
(' ave_R ', 58.73, ' std_R ', 45.02, ' min_R ', 0.0, ' max_R ', 291.32, ' times ', 2006777, ' epi', 5000, ' clock ', 5.24, ' min')
(' ave_R ', 59.35, ' std_R ', 48.02, ' min_R ', 0.0, ' max_R ', 341.44, ' times ', 2111002, ' epi', 5100, ' clock ', 5.48, ' min')
(' ave_R ', 62.77, ' std_R ', 72.19, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2183027, ' epi', 5200, ' clock ', 5.7, ' min')
(' ave_R ', 65.99, ' std_R ', 73.75, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2274861, ' epi', 5300, ' clock ', 5.93, ' min')
(' ave_R ', 70.44, ' std_R ', 78.85, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2379269, ' epi', 5400, ' clock ', 6.17, ' min')
(' ave_R ', 79.07, ' std_R ', 89.29, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2512109, ' epi', 5500, ' clock ', 6.48, ' min')
(' ave_R ', 77.15, ' std_R ', 93.09, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2654200, ' epi', 5600, ' clock ', 6.81, ' min')
(' ave_R ', 82.21, ' std_R ', 102.79, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2803692, ' epi', 5700, ' clock ', 7.16, ' min')
(' ave_R ', 83.91, ' std_R ', 103.14, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 2911862, ' epi', 5800, ' clock ', 7.41, ' min')
(' ave_R ', 93.54, ' std_R ', 110.58, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 3010290, ' epi', 5900, ' clock ', 7.63, ' min')
(' ave_R ', 97.52, ' std_R ', 115.23, ' min_R ', 0.0, ' max_R ', 858.95, ' times ', 3136900, ' epi', 6000, ' clock ', 7.91, ' min')
(' ave_R ', 108.14, ' std_R ', 135.6, ' min_R ', 0.0, ' max_R ', 894.46, ' times ', 3309632, ' epi', 6100, ' clock ', 8.24, ' min')
(' ave_R ', 125.26, ' std_R ', 167.14, ' min_R ', 0.0, ' max_R ', 1167.77, ' times ', 3510271, ' epi', 6200, ' clock ', 8.59, ' min')
(' ave_R ', 163.09, ' std_R ', 224.63, ' min_R ', 0.0, ' max_R ', 1167.77, ' times ', 3743970, ' epi', 6300, ' clock ', 9.0, ' min')
(' ave_R ', 188.1, ' std_R ', 247.57, ' min_R ', 0.0, ' max_R ', 1167.77, ' times ', 3954438, ' epi', 6400, ' clock ', 9.4, ' min')
(' ave_R ', 206.39, ' std_R ', 251.74, ' min_R ', 0.0, ' max_R ', 1167.77, ' times ', 4191058, ' epi', 6500, ' clock ', 9.85, ' min')
(' ave_R ', 212.9, ' std_R ', 250.95, ' min_R ', 0.0, ' max_R ', 1167.77, ' times ', 4337382, ' epi', 6600, ' clock ', 10.15, ' min')
(' ave_R ', 230.1, ' std_R ', 273.12, ' min_R ', 0.0, ' max_R ', 1279.92, ' times ', 4478675, ' epi', 6700, ' clock ', 10.45, ' min')
(' ave_R ', 240.93, ' std_R ', 294.04, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 4677216, ' epi', 6800, ' clock ', 10.83, ' min')
(' ave_R ', 253.9, ' std_R ', 300.1, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 4872965, ' epi', 6900, ' clock ', 11.24, ' min')
(' ave_R ', 284.65, ' std_R ', 329.67, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 5104752, ' epi', 7000, ' clock ', 11.7, ' min')
(' ave_R ', 291.96, ' std_R ', 331.5, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 5293142, ' epi', 7100, ' clock ', 12.05, ' min')
(' ave_R ', 287.69, ' std_R ', 328.98, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 5470758, ' epi', 7200, ' clock ', 12.4, ' min')
(' ave_R ', 263.44, ' std_R ', 316.11, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 5655777, ' epi', 7300, ' clock ', 12.82, ' min')
(' ave_R ', 248.54, ' std_R ', 318.7, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 5851891, ' epi', 7400, ' clock ', 13.24, ' min')
(' ave_R ', 238.64, ' std_R ', 320.36, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 6044031, ' epi', 7500, ' clock ', 13.63, ' min')
(' ave_R ', 252.12, ' std_R ', 324.39, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 6238835, ' epi', 7600, ' clock ', 14.05, ' min')
(' ave_R ', 253.96, ' std_R ', 312.69, ' min_R ', 0.0, ' max_R ', 1675.35, ' times ', 6463135, ' epi', 7700, ' clock ', 14.52, ' min')
(' ave_R ', 269.86, ' std_R ', 303.39, ' min_R ', 0.0, ' max_R ', 1585.57, ' times ', 6679277, ' epi', 7800, ' clock ', 14.96, ' min')
(' ave_R ', 273.28, ' std_R ', 304.72, ' min_R ', 0.0, ' max_R ', 1585.57, ' times ', 6878365, ' epi', 7900, ' clock ', 15.38, ' min')
(' ave_R ', 253.22, ' std_R ', 271.06, ' min_R ', 0.0, ' max_R ', 1278.74, ' times ', 7075021, ' epi', 8000, ' clock ', 15.78, ' min')
(' ave_R ', 255.96, ' std_R ', 284.05, ' min_R ', 0.0, ' max_R ', 1278.74, ' times ', 7259019, ' epi', 8100, ' clock ', 16.13, ' min')
(' ave_R ', 265.0, ' std_R ', 291.3, ' min_R ', 0.0, ' max_R ', 1278.74, ' times ', 7434530, ' epi', 8200, ' clock ', 16.45, ' min')
(' ave_R ', 282.98, ' std_R ', 315.69, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 7664101, ' epi', 8300, ' clock ', 16.88, ' min')
(' ave_R ', 294.54, ' std_R ', 304.07, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 7914104, ' epi', 8400, ' clock ', 17.32, ' min')
(' ave_R ', 314.52, ' std_R ', 317.68, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 8126742, ' epi', 8500, ' clock ', 17.69, ' min')
(' ave_R ', 319.02, ' std_R ', 314.84, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 8339759, ' epi', 8600, ' clock ', 18.06, ' min')
